game,Holdem NL
room,Pokerdom
title,Мини Феникс Мегастек
buy_in,100
gtg,250000
prize,250000
plrs,762
prizes,135
time,495
1,alex_eldakoff
2,artepav
3,ride_or_die
4,1881881
5,makarpoker
6,sashok2512
7,ecograss1 #2
8,evdkmv1982
9,foldmi
10,stalker1515
11,misha1989
12,kapitan63
13,puli_ot_babuli
14,jakub1987
15,swanky163
16,alexoren
17,zwing79
18,krutrk
19,serg197211
20,otec_pokera #2
21,ironflop
22,otti
23,axel76
24,daniladandan
25,di4ka_herring
26,maximbur
27,7aleksey77
28,garnik333
29,r0bot
30,az150766 #5
31,disantik
32,chikanko
33,dima141414
34,trestram
35,kany4
36,eyes369
37,jamezbond
38,yitazooz #2
39,karplanter
40,za_dengami
41,arutyunyan1
42,vental111
43,1vento1
44,vladim1601
45,katrin689
46,skolt1234
47,marat17
48,ttollik
49,anceo
50,karasik27
51,zhukoshvili
52,jahchildren
53,theonlytruth
54,umora
55,mish55b
56,fedv00
57,petrbasturma
58,koji9
59,w3ka
60,mmepsychosis
61,gva161
62,classick
63,olegan39
64,sergio986
65,ms_marineta
66,basyke
67,sergeykorr
68,kaidzen10
69,ctakah800
70,alexrons
71,zzzemelya
72,nucleon
73,konstruktortuy
74,tubikhibraz
75,vaseqq
76,pvn35
77,andreyks63
78,svist81
79,vit19852701
80,eduard985
81,profi1199
82,dayana56
83,kuka850
84,adylkrutoy
85,elance
86,allmag1975
87,kaban1233
88,laserda
89,zhuket69
90,vitalik_lav
91,1o631k
92,mutobor555
93,banditochka
94,pashoktkd
95,benjamin_020
96,touroubanova
97,koluyvan13
98,dlsrl69
99,djantonion
100,2148228
101,khassenov17
102,bagheera76
103,_shnaider_
104,sidorec
105,fishazn #2
106,glladiator
107,evgeniy_3101
108,freebooter
109,band1tka777 #3
110,sokol1963
111,jacobinec
112,bar_suk74
113,alexmat66
114,andrey11888
115,vitaminn
116,elik2310
117,miha3588
118,dyadyaden
119,vamprivand
120,vovkasvat
121,alexmax1973
122,prapor56
123,_shum_
124,roma_spr
125,sfaiggee
126,vavan1803 #2
127,kzhomart888
128,max_vegas
129,altis12
130,solo82
131,dun9a
132,yarul_ka
133,kkaarel
134,kjlewhu
135,igorrrrr2801
136,kotavasya
137,zzzika321
138,gubchan
139,kaarni777
140,vived #2
141,mdsk
142,dimmakmon
143,plovski
144,griva54
145,bes2001
146,mercury7
147,kim92985
148,kitten_crime
149,fsm79
150,gogfun
151,alan2501 #2
152,timurique
153,madishakenov
154,enimostar
155,mocart19
156,mehanik36
157,deuceneverlose
158,jane_l #2
159,lucas332
160,_dias_78 #2
161,ds1dorenko
162,andre3456
163,dansir94
164,diegor
165,bigroof83
166,ildartim84
167,rosgarddx
168,ansheph
169,arealeonhart
170,qeda
171,muhatut
172,2rash2
173,witchrasl
174,ggudwin
175,tt8208rus
176,n3mosis
177,alexis888
178,yakobs
179,pokerklub70
180,veryfast4uuu
181,dasaii
182,alexxdon
183,kribensis
184,miracl1
185,milovan86
186,bo0m_
187,ask_poker
188,yaoracle
189,rasend34
190,unbreakablee #2
191,pancho2812
192,bmaj71113
193,kstrm
194,sharb
195,rv_steny
196,kurokombat
197,medmds
198,tulichok71
199,xom94ok18
200,stilrvl
201,o800co
202,volchara187
203,yozhek
204,nikakit
205,bbobbob
206,tulupovfedor
207,denbeard
208,geefox
209,tamar4k
210,tolyan_danilov
211,ravissakov
212,xaxafun44
213,gripash
214,strelok545
215,gorhar2
216,artek12
217,zinedinesedan
218,archi00700
219,art474444
220,carmelone
221,greefonya
222,shavasana
223,redcap19
224,zdvbz #2
225,atomfish69
226,tokitoki
227,mak1988 #3
228,sake1965
229,vitaly1809
230,muxa7788
231,cmm23
232,yanra51 #2
233,crouli777
234,i3479
235,4poker11
236,fart_fart
237,smarttrader
238,lediosen86
239,c_team
240,petrovih027 #2
241,keker_9088 #2
242,den_chiik
243,00709
244,oggi18
245,so1o
246,artam0n
247,doktor_livsi
248,1998serj1998
249,nub_228
250,hitropopiki
251,hitch576
252,krivoj
253,tore1092
254,dobroizlo
255,igrok2074
256,nikpass
257,diddd29
258,ahiles76
259,shervalet #3
260,vika210413 #3
261,kickboxer39
262,hesh99
263,7boroda7
264,evgeny1207
265,haypoker
266,facki
267,tatlok999211
268,teehon
269,chessskill1
270,solovey12
271,reddbull
272,chirik007 #3
273,lovslives
274,al7river
275,girra1728
276,manackov
277,denn4ik84
278,molotov1
279,boom46
280,garik10
281,grib345 #2
282,sergeevna479
283,moneycleaner
284,kirill2125
285,solomidplz
286,vasya1998
287,aprahan
288,smallville55
289,shulz_ng
290,xz888
291,arhpro13
292,negoblin
293,chucky11q
294,serega1641 #2
295,evgen237
296,sasahaha
297,virus1974
298,behappyt1me #2
299,re185qqq
300,mariagogolewa
301,pirat348
302,renatisv
303,donor12
304,chefsk
305,markel_fizteh
306,veymaraner
307,020wolf
308,mafiageneral
309,chuvak1213
310,midfin_vlz
311,gundik
312,user257
313,ravilpro
314,sekoregion10kz #4
315,bodya66
316,xoyt1998
317,greyscorpi
318,alex_4484
319,poker124sven #2
320,skv383
321,div58russs
322,belyidom
323,dolphinstyle
324,komarik_01
325,matveizov
326,asm74
327,sorrymdope1
328,umixo
329,strimertwitch
330,dedpihto42rus
331,rulla
332,10lives
333,bigmuzzy
334,papiartur1
335,natka1721
336,banderos329
337,br3d
338,ostap737
339,vovabutcai #2
340,cryptowarrior
341,vlada44
342,sergantfox
343,shopapa
344,v2010
345,slavo31
346,kazbek744
347,snow175
348,evafirali
349,dimstone
350,sonika
351,povezti
352,jojoba14
353,tuzyra1 #2
354,niker08
355,pobeda2003
356,matros227
357,jafarrodriges
358,ruukka
359,salihova98
360,edos777 #2
361,adik2211 #2
362,alim12 #2
363,zippo2202 #2
364,maks2328
365,luckyanox
366,miriam777
367,armyan122 #2
368,zippo2202
369,torez3333
370,mihbor
371,dima_sik11
372,poltawskiy
373,alim12
374,morgonik32 #2
375,voyabutcai
376,nu4ajibko
377,ohotnik22
378,appserv
379,volodya111
380,adik2211
381,ale1985lap #2
382,gvabdo
383,msk1988 #2
384,dimac74
385,d1mbon
386,chirik007 #2
387,alexmih1973
388,nomadx
389,vepbr25
390,askl
391,kover1979
392,mrbutcher666
393,micilandjila
394,tuzyra1
395,zaeb0lya
396,katya55577
397,chirik007
398,f0g
399,joran
400,28smok28
401,rainman90
402,sergdenik
403,nashone
404,potorochin312
405,dentim777 #2
406,az150766 #4
407,varmani
408,1abrams1 #2
409,edos777
410,alikbagavi
411,nica14 #2
412,imiranc
413,evgen_111
414,mozg_g
415,drozd700
416,bobini
417,poker124sven
418,elenapaz
419,az150766
420,arhimedd
421,ali25122024
422,akal1979
423,stversus
424,23paxmayster23
425,tamza50 #2
426,varyag1904
427,ivanff23
428,armyan1122
429,dinwin
430,bigedd
431,movingspirit
432,gashanich #2
433,emelik #2
434,volk3224
435,narkoman72
436,tamza50
437,kruperrr
438,_rumata_don_
439,emilisan5815
440,mrangri
441,platon7
442,suleiman_gg
443,grib345
444,l4nsky
445,bintordog #2
446,sekoregion10kz #3
447,etoya13 #3
448,samoff
449,ella99926
450,vika210413 #2
451,vigorich59
452,chera7292 #2
453,rastoman123
454,gyyyyga
455,stephandello
456,dimaaass9078
457,prshsss
458,dembbaba
459,1abrams1
460,210413
461,bungie
462,ilya88ok
463,prokr
464,jazzquass
465,4qsniki
466,komandante #2
467,vika210413 #2
468,bintordog
469,n1kkom
470,ksy73
471,pitupishechka
472,abibokby
473,azik0701
474,992_905302004
475,komandante
476,skripsi
477,rbctkm80 #2
478,yitazooz
479,ffc24
480,o300ko
481,rbctkm80
482,sekoregion10kz
483,endyrus_04
484,kaney_east
485,sniy86
486,mergen04
487,chera7292
488,bkakfox17
489,levan_f1
490,freelancearc43
491,vallog
492,jannajoy
493,mlisak
494,noyon
495,cobra1976
496,11ss11ss11
497,morgonk32
498,1987dam
499,graf10
500,zloyded401
501,vavil4ik666
502,semen64_
503,axeonme
504,alekseynt
505,hey_noob
506,ivansbsb
507,pneumonia
508,asker0505
509,mika3456
510,angelok23
511,dalante
512,fedyakonuhov
513,1maverik1 #2
514,acmilan1602
515,unbreakablee
516,monstriki
517,ctelina
518,1417555
519,serega1641
520,mika3456
521,cikada
522,calian1991
523,madbro1
524,petrovih027
525,vovan7979
526,doublemax
527,ramidalv
528,happyzerg
529,pro100fish777
530,naranmed08
531,dn10
532,kapibaravpoker
533,apokalipsis666
534,fishazn
535,ksyushka_s
536,johnywanna
537,mazalych
538,nikitakrn
539,fstparty
540,bobi21
541,laakrys
542,el_pitoniero
543,egorkozyrev
544,mrnovikof #2
545,ar029
546,vived
547,gulnora0905
548,akula777123 #2
549,papa888
550,jumanj1
551,pitachok15
552,pega22
553,san2107
554,andreyfrv
555,az150766 #2
556,veenrok84
557,ddk34
558,raketa8801
559,cry_angel66
560,dsmmb
561,mrnovikof
562,alekseynt
563,miasnikvovan
564,gnoinui
565,sdvl1985
566,this_is_sparta
567,givememoney
568,happysinner
569,gashanich
570,moro77
571,550msm
572,akula777123
573,vavil4ik666
574,bezymnii777
575,behappyt1me
576,solohardline
577,etoya13 #2
578,potap007
579,mowin
580,zcool111
581,markizo
582,din1105
583,altser
584,winston75
585,_dias_78
586,sekoregion10kz
587,rooolll #4
588,dimok86
589,bobyaxelerod
590,ds100
591,shervalet #2
592,maxibons
593,zloimoskvich
594,ustinka1975
595,retopy19
596,venstav #2
597,gospodin_kesha
598,di_mon
599,vwwwww
600,onepvl #2
601,venstav
602,inop
603,emil111777
604,bamby4a35
605,chiplidersha
606,s_hudoy
607,pr3dat0r
608,kazax600
609,pika4ushka
610,pashka_nn #2
611,orel007
612,yanra51
613,osn101
614,leonid168
615,dektyannikov
616,margomango
617,ledts
618,gurikx
619,ecograss1
620,voronsacha
621,opatulichki
622,ilyavlod
623,romkaaaa94
624,kopla1000
625,shamaan
626,lerch_lerch
627,lyman2211
628,litai
629,zdvbz
630,jekaavurskiy
631,aajjkkkk
632,cool_sam
633,rilades
634,bl0xa
635,luntikoff14
636,lebussus
637,kazan12345
638,emelik
639,antipirate
640,claqueur
641,luka11_69 #2
642,arsen557
643,rezox1
644,etoya13
645,smolyakovpaul #2
646,ruslan066126
647,twilight_echo
648,luka11_69
649,kukolshik103
650,gansa_shmulke
651,3vrika
652,yamateh2014
653,z606918
654,kitran
655,gena60
656,dudiev86
657,xpvista15
658,magi777
659,reddav #2
660,galp #2
661,asv805
662,mrvyugov
663,band1tka777 #2
664,az150766
665,goodplayer2992
666,1maverik1
667,star_lord
668,cocodrillo
669,pi_100_let
670,drovosek117
671,dandy70
672,youngtalent
673,slavokvlg
674,dentim777
675,v1kt0r87
676,lisial
677,belyjninja
678,alena2005
679,mejiobah
680,vavan1803
681,rinavays
682,yoshimitsu76
683,shervalet #2
684,rooolll #3
685,walinable #2
686,satumore88
687,beyondorka
688,nica14
689,zvuker
690,smolyakovpaul
691,art_leo
692,walinable
693,bad_santa48
694,minigboss
695,alekseirio
696,vladimirsm87
697,ale1985lap
698,aleksei1788
699,dimka00823
700,skkibao_o
701,174tim174
702,galp
703,sten79
704,tahep
705,a3ik
706,luckybocman
707,minarta
708,shredden_163
709,casca137
710,diditio
711,uehfy #2
712,reddav
713,veasi13
714,velliant
715,bramin108
716,rooolll #2
717,montserrigo
718,adequatee
719,123581317
720,keker_9088
721,topjoker
722,sedov821
723,nika828
724,_mikasa_
725,luckyluc85
726,alexxcarst #2
727,kuba1302135
728,blekpilot
729,fredo15999
730,vihut
731,mastersheff
732,jane_l
733,otec_pokera
734,zavlan81
735,alexdrug
736,npc95
737,kronos_bot
738,ramzes34ru
739,band1tka777
740,maksim1207
741,mamont80
742,rooolll
743,lexminn
744,alexxcarst
745,babavik
746,khuler0810
747,pashka_nn
748,temazm
749,uehfy
750,gangster_888
751,trickter
752,onepvl
753,haltura831
754,mrrevizorooo
755,67m_m
756,alan2501
757,yullubiyofisha
758,domovoi345 #2
759,furgan
760,artemka76543
761,ranas86
762,domovoi345
